year,1st,2nd,1st race,2nd race
2020,Trap,Stats,P,P
2020,Serral,Stats,Z,P
2020,Astrea,Neeb,P,P
2020,Clem,Reynor,T,Z
2020,Maru,Cure,T,T
2020,Reynor,Trap,Z,P
2020,Scarlett,Astrea,Z,P
2020,TY,Maru,T,T
2020,Reynor,Clem,Z,T
2020,Serral,Trap,Z,P
2020,Reynor,Serral,Z,Z
2020,Neeb,Astrea,P,P
2020,Reynor,Serral,Z,Z
2020,Rogue,Stats,Z,P
2020,soO,INnoVation,Z,T
2020,TY,Cure,T,T
2020,Maru,Dark,T,Z
2020,Rogue,Zest,Z,P
2019,Serral,Reynor,Z,Z
2019,Dark,Reynor,Z,Z
2019,Dark,TY,Z,T
2019,Serral,Reynor,Z,Z
2019,Serral,Elazer,Z,Z
2019,Stats,Solar,P,Z
2019,Reynor,Serral,Z,Z
2019,Rogue,Trap,Z,P
2019,INnoVation,Scarlett,T,Z
2019,Serral,SpeCial,Z,T
2019,Dark,Trap,Z,P
2019,Classic,GuMiho,P,T
2019,INnoVation,Serral,T,Z
2019,soO,Stats,Z,P
2019,Maru,Classic,T,P
2019,Reynor,Serral,Z,Z
2019,Neeb,Scarlett,P,Z
